Model,Parameter,Log2 fold-change
Mixed,Transcription rate,0.06204025827716299
Mixed,Transcription rate,0.6319901056895887
Mixed,Transcription rate,0.16162568819840192
Mixed,Transcription rate,3.8636566632202594
Mixed,Transcription rate,0.873141599855086
Mixed,Transcription rate,3.566417540931087
Mixed,Transcription rate,0.7105447783366967
Mixed,Transcription rate,4.387460716536555
Mixed,Transcription rate,0.1132188006348277
Mixed,Transcription rate,0.10289932493075353
Mixed,Transcription rate,0.5556782249192458
Mixed,Transcription rate,0.035887255381095724
Mixed,Transcription rate,0.04194178083273157
Mixed,Transcription rate,1.0127113317126284
Mixed,Transcription rate,1.4379878648037883
Mixed,Transcription rate,0.4179973348990697
Mixed,Transcription rate,0.34743101525147035
Mixed,Transcription rate,2.176669301022042
Mixed,Transcription rate,3.6267810512449477
Mixed,Transcription rate,0.41393905372749484
Mixed,Transcription rate,0.8726758005535664
Mixed,Transcription rate,0.05621852224751686
Mixed,Transcription rate,0.31236354937769123
Mixed,Transcription rate,0.8525648640430907
Mixed,Transcription rate,2.4210141631115163
Mixed,Transcription rate,0.44554099228222477
Mixed,Transcription rate,0.31422554968625377
Mixed,Transcription rate,1.638324058578215
Mixed,Transcription rate,0.6298947853343537
Mixed,Transcription rate,1.9158728900590887
Mixed,Transcription rate,0.9990134073316507
Mixed,Transcription rate,0.7145818744500356
Mixed,Transcription rate,4.529522143435764
Mixed,Transcription rate,0.3019600812727255
Mixed,Transcription rate,0.24972584330287503
Mixed,Transcription rate,1.989604221858806
Mixed,Transcription rate,2.319694037699331
Mixed,Transcription rate,2.750906903087567
Mixed,Transcription rate,4.224205401923516
Mixed,Transcription rate,2.174179239147625
Mixed,Transcription rate,1.0428687203320641
Mixed,Transcription rate,0.789059665406016
Mixed,Transcription rate,0.08360587569459889
Mixed,Transcription rate,1.7898765479169687
Mixed,Transcription rate,4.6708048307983345
Mixed,Transcription rate,0.5826505630522338
Mixed,Transcription rate,0.05504549794100924
Mixed,Transcription rate,3.0645567443506208
Mixed,Transcription rate,5.23611524267002
Mixed,Transcription rate,2.4788194124673835
Mixed,Transcription rate,1.4783748311313212
Mixed,Transcription rate,0.6907885807906591
Mixed,Transcription rate,0.28810579944326475
Mixed,Transcription rate,1.385752309520582
Mixed,Transcription rate,3.732114460578111
Mixed,Transcription rate,0.21430576800626783
Mixed,Transcription rate,0.5021093394367298
Mixed,Transcription rate,1.4964989937683109
Mixed,Transcription rate,0.06319948916831673
Mixed,Transcription rate,1.5968338485825
Mixed,Transcription rate,1.1765644212841693
Mixed,Transcription rate,2.754044271826953
Mixed,Transcription rate,1.3834821174558016
Mixed,Transcription rate,2.942691192333667
Mixed,Transcription rate,0.4260280698500933
Mixed,Transcription rate,0.8494666898000991
Mixed,Transcription rate,0.05156326135117975
Mixed,Transcription rate,0.04003554301972715
Mixed,Transcription rate,2.0079371581126515
Mixed,Transcription rate,1.494827891692772
Mixed,Transcription rate,1.918010806561404
Mixed,Transcription rate,3.7168245088800855
Mixed,Transcription rate,4.896234264791795
Mixed,Transcription rate,0.37922298074343297
Mixed,Transcription rate,0.4803749776541968
Mixed,Transcription rate,0.34389567808939747
Mixed,Transcription rate,2.371564001594771
Mixed,Transcription rate,2.4537826830598366
Mixed,Transcription rate,0.08051908200973833
Mixed,Transcription rate,1.7912107734776468
Mixed,Transcription rate,1.8933734614659548
Mixed,Transcription rate,3.903133282214793
Mixed,Transcription rate,4.931469420052169
Mixed,Transcription rate,1.5685010671285018
Mixed,Transcription rate,3.2285781806918017
Mixed,Transcription rate,0.35808319724453874
Mixed,Transcription rate,2.344101663270394
Mixed,Transcription rate,0.2854338594652677
Mixed,Transcription rate,2.2508383559248277
Mixed,Transcription rate,4.908786630692509
Mixed,Transcription rate,0.8537385101273651
Mixed,Transcription rate,4.469620076766121
Mixed,Transcription rate,4.8061095529732025
Mixed,Transcription rate,3.050447171285677
Mixed,Transcription rate,0.6971466658583423
Mixed,Transcription rate,3.9604588902950337
Mixed,Transcription rate,0.2058871261984797
Mixed,Transcription rate,0.8705342309334179
Mixed,Transcription rate,1.9036781522628152
Mixed,Transcription rate,0.1601679935353912
Mixed,Transcription rate,0.3142231871409159
Mixed,Transcription rate,2.904404937151573
Mixed,Transcription rate,3.1176112626599632
Mixed,Transcription rate,0.1930755362317955
Mixed,Transcription rate,0.2889390381378427
Mixed,Transcription rate,2.3506019082646428
Mixed,Transcription rate,2.9017485886901424
Mixed,Transcription rate,0.0760915322636517
Mixed,Transcription rate,1.1635738161139753
Mixed,Transcription rate,0.4995189505115334
Mixed,Transcription rate,0.120982740389352
Mixed,Transcription rate,0.017651510274481363
Mixed,Transcription rate,0.5617140863889727
Mixed,Transcription rate,1.1374755251471838
Mixed,Transcription rate,2.1547106698030594
Mixed,Transcription rate,0.30853531982113824
Mixed,Transcription rate,2.4390020209856176
Mixed,Transcription rate,5.307203089850649
Mixed,Transcription rate,0.001710694253652855
Mixed,Transcription rate,0.9501511743581448
Mixed,Transcription rate,0.4840414792069129
Mixed,Transcription rate,2.036922106651945
Mixed,Transcription rate,4.0724635458735134
Mixed,Transcription rate,3.053401984369516
Mixed,Transcription rate,3.7306966131445063
Mixed,Transcription rate,0.8393996399377341
Mixed,Transcription rate,0.124556253033547
Mixed,Transcription rate,0.5002341245486671
Mixed,Transcription rate,0.8244311994493851
Mixed,Transcription rate,2.822148999342759
Mixed,Transcription rate,5.410014503741418
Mixed,Transcription rate,2.614562283432375
Mixed,Transcription rate,1.0254604614107086
Mixed,Transcription rate,0.34808814965302026
Mixed,Transcription rate,0.4143294189770082
Mixed,Transcription rate,0.8999263744962523
Mixed,Transcription rate,0.23206275126703893
Mixed,Transcription rate,1.8794726231766634
Mixed,Transcription rate,1.9432314336406926
Mixed,Transcription rate,1.0212258882750067
