Model,Parameter,Log2 fold-change
Mixed,Transcription rate,1.3972876538952888
Mixed,Transcription rate,1.9753472694700018
Mixed,Transcription rate,0.06342074529151843
Mixed,Transcription rate,1.6219330555012574
Mixed,Transcription rate,0.9324022578972024
Mixed,Transcription rate,1.0287614476069271
Mixed,Transcription rate,2.258244867467878
Mixed,Transcription rate,0.46447141026627115
Mixed,Transcription rate,3.0585939113647735
Mixed,Transcription rate,0.7975632088069738
Mixed,Transcription rate,1.1307319348557836
Mixed,Transcription rate,0.25615394528754
Mixed,Transcription rate,0.17686462877361853
Mixed,Transcription rate,0.10248560202058979
Mixed,Transcription rate,0.7098900210464711
Mixed,Transcription rate,2.1511848937449867
Mixed,Transcription rate,3.2448719584577272
Mixed,Transcription rate,0.15986481837461763
Mixed,Transcription rate,0.459044531249716
Mixed,Transcription rate,2.0155882477405203
Mixed,Transcription rate,0.13493668940908002
Mixed,Transcription rate,0.06165046043128124
Mixed,Transcription rate,2.1531333131240413
Mixed,Transcription rate,2.907913787006783
Mixed,Transcription rate,4.151478660518858
Mixed,Transcription rate,0.20102719114031162
Mixed,Transcription rate,0.5970520910218717
Mixed,Transcription rate,0.7922486183207305
Mixed,Transcription rate,2.137167478761461
Mixed,Transcription rate,0.984423427286657
Mixed,Transcription rate,0.7088481925826093
Mixed,Transcription rate,0.857647203206805
Mixed,Transcription rate,2.1746288105581404
Mixed,Transcription rate,0.7086595636635731
Mixed,Transcription rate,3.0287859154973766
Mixed,Transcription rate,0.9181452838551353
Mixed,Transcription rate,2.1544874358640924
Mixed,Transcription rate,0.5144933559616792
Mixed,Transcription rate,0.9512690640128403
Mixed,Transcription rate,3.4759970808029426
Mixed,Transcription rate,0.8921946175252432
Mixed,Transcription rate,0.028029512831575617
Mixed,Transcription rate,2.4660894628485472
Mixed,Transcription rate,0.015074463140071874
Mixed,Transcription rate,0.5786424682346606
Mixed,Transcription rate,1.4468368424794853
Mixed,Transcription rate,0.050636202824193385
Mixed,Transcription rate,1.538839140605523
Mixed,Transcription rate,0.3148876534212485
Mixed,Transcription rate,2.261116147265091
Mixed,Transcription rate,0.09843680769245806
Mixed,Transcription rate,0.2069047132222748
Mixed,Transcription rate,0.18853370440833914
Mixed,Transcription rate,0.9419990822187012
Mixed,Transcription rate,0.09602206783443971
Mixed,Transcription rate,2.470827149965686
Mixed,Transcription rate,1.9655050638105098
Mixed,Transcription rate,0.6974594247486358
Mixed,Transcription rate,1.193012848414878
Mixed,Transcription rate,2.566246821600284
Mixed,Transcription rate,2.5141053699572344
Mixed,Transcription rate,4.24750522885963
Mixed,Transcription rate,0.5495241037784351
Mixed,Transcription rate,0.0684762626511797
Mixed,Transcription rate,1.7859988433784144
Mixed,Transcription rate,0.05189469169987977
Mixed,Transcription rate,2.2947828950708917
Mixed,Transcription rate,1.1527519078506936
Mixed,Transcription rate,3.010099397825901
Mixed,Transcription rate,3.7891081679863454
Mixed,Transcription rate,2.766645512899028
Mixed,Transcription rate,0.25588559263297916
Mixed,Transcription rate,1.3528244089508783
Mixed,Transcription rate,0.4815070016243932
Mixed,Transcription rate,0.5209035215281062
Mixed,Transcription rate,0.9815602845272374
Mixed,Transcription rate,2.760823987801596
Mixed,Transcription rate,0.32851119390484673
Mixed,Transcription rate,2.2493353380610492
Mixed,Transcription rate,4.006607265078503
Mixed,Transcription rate,0.8642023979840203
Mixed,Transcription rate,0.5775388197375694
Mixed,Transcription rate,1.4590099970733408
Mixed,Transcription rate,0.22860555687514475
Mixed,Transcription rate,2.5445064761824394
Mixed,Transcription rate,0.19207356343095228
Mixed,Transcription rate,0.14750364375492112
Mixed,Transcription rate,0.10824582713015296
Mixed,Transcription rate,0.5261631243765037
Mixed,Transcription rate,4.232792057037169
Mixed,Transcription rate,1.1580618872119066
Mixed,Transcription rate,1.967913993717693
Mixed,Transcription rate,0.4659759378443834
