Model,Comparison,Property,Run,Mut_alpha,KS stats,KS p-value
ADS,All duplicates,Protein abundance,Bm4,-0.15,-0.09323716381418086,0.0062241047967684674
ADS,All duplicates,Protein abundance,Bm4,-0.125,-0.08916625916870409,0.008897014100152567
ADS,All duplicates,Protein abundance,Bm4,-0.1,-0.08453789731051338,0.0162314505598379
ADS,All duplicates,Protein abundance,Bm4,-0.075,-0.08940383048084756,0.011011967685899902
ADS,All duplicates,Protein abundance,Bm4,-0.05,-0.08933374083129576,0.009311459445003866
ADS,All duplicates,Protein abundance,Bm4,-0.01,-0.09303789731051343,0.0057054782566043
ADS,All duplicates,Protein abundance,Bm4,0.0,-0.08677261613691929,0.016102001026847636
ADS,All duplicates,Protein abundance,Bm5,-0.35,-0.08499959250203744,0.015512027819744067
ADS,All duplicates,Protein abundance,Bm5,-0.25,-0.0888895680521597,0.009970345941488134
ADS,All duplicates,Protein abundance,Bm5,-0.175,-0.09342665036674809,0.005969715971758299
ADS,All duplicates,Protein abundance,Bm5,-0.15,-0.08407334963325179,0.01587555533148893
ADS,All duplicates,Protein abundance,Bm5,-0.125,-0.08381214343928277,0.016208905428530235
ADS,All duplicates,Protein abundance,Bm5,-0.1,-0.08731499592502033,0.012018676315237535
ADS,All duplicates,Protein abundance,Bm5,-0.075,-0.08899959250203744,0.009545764871699032
ADS,All duplicates,Protein abundance,Bm5,-0.05,-0.08433088834555824,0.015423743258625102
ADS,All duplicates,Protein abundance,Bm5,-0.01,-0.09843928280358598,0.002586690271186867
ADS,All duplicates,Protein abundance,Bm5,0.0,-0.08899755501222491,0.008747728210757534
ADS,All duplicates,Protein abundance,Bm6,-0.35,-0.09399959250203743,0.005541375149335833
ADS,All duplicates,Protein abundance,Bm6,-0.25,-0.09272290138549304,0.006730308660309367
ADS,All duplicates,Protein abundance,Bm6,-0.175,-0.09159168704156473,0.007286406149810999
ADS,All duplicates,Protein abundance,Bm6,-0.15,-0.08853626731866338,0.009262638086045065
ADS,All duplicates,Protein abundance,Bm6,-0.125,-0.0839975550122249,0.0194832013936438
ADS,All duplicates,Protein abundance,Bm6,-0.1,-0.09012876935615317,0.007593486312507066
ADS,All duplicates,Protein abundance,Bm6,-0.075,-0.08359046454767723,0.017650433744424168
ADS,All duplicates,Protein abundance,Bm6,-0.05,-0.0892371638141809,0.0085250044805359
ADS,All duplicates,Protein abundance,Bm6,-0.01,-0.08929095354523227,0.009913468146681367
ADS,All duplicates,Protein abundance,Bm6,0.0,-0.0884295028524857,0.010715924748221568
ADS,All duplicates,Protein abundance,Bm7,-0.35,-0.08866625916870412,0.009288718324768533
ADS,All duplicates,Protein abundance,Bm7,-0.25,-0.0931662591687041,0.0052339505561683
ADS,All duplicates,Protein abundance,Bm7,-0.175,-0.0962583537082314,0.0037422257227356665
ADS,All duplicates,Protein abundance,Bm7,-0.15,-0.09622290138549304,0.004568960163133366
ADS,All duplicates,Protein abundance,Bm7,-0.125,-0.08129543602281984,0.02262952551092377
ADS,All duplicates,Protein abundance,Bm7,-0.1,-0.08844580277098607,0.009210243558574367
ADS,All duplicates,Protein abundance,Bm7,-0.075,-0.08949592502037486,0.0122686150892627
ADS,All duplicates,Protein abundance,Bm7,-0.05,-0.09005256723716376,0.009301953199120666
ADS,All duplicates,Protein abundance,Bm7,-0.01,-0.08688590057049707,0.011643270800589233
ADS,All duplicates,Protein abundance,Bm7,0.0,-0.09279380603096983,0.008000536095756234
ADS,All duplicates,Protein abundance,Bm8,-0.35,-0.09299959250203743,0.005786134920760967
ADS,All duplicates,Protein abundance,Bm8,-0.25,-0.09066625916870412,0.007015845942405267
ADS,All duplicates,Protein abundance,Bm8,-0.175,-0.0916128769356153,0.006374705526243933
ADS,All duplicates,Protein abundance,Bm8,-0.15,-0.08874164629176846,0.009333775565567567
ADS,All duplicates,Protein abundance,Bm8,-0.125,-0.08881662591687038,0.0104119821619234
ADS,All duplicates,Protein abundance,Bm8,-0.1,-0.0877017114914425,0.010207344287632399
ADS,All duplicates,Protein abundance,Bm8,-0.075,-0.0904221678891605,0.0105161579145241
ADS,All duplicates,Protein abundance,Bm8,-0.05,-0.08707049714751425,0.010850264411425834
ADS,All duplicates,Protein abundance,Bm8,-0.01,-0.092920945395273,0.005691651443634299
ADS,All duplicates,Protein abundance,Bm8,0.0,-0.0907224938875305,0.007005058212237333
ADS,All duplicates,Protein abundance,Bm9,-0.35,-0.09799959250203744,0.0031607297564621
ADS,All duplicates,Protein abundance,Bm9,-0.25,-0.09722290138549304,0.0031819957551515333
ADS,All duplicates,Protein abundance,Bm9,-0.175,-0.09322290138549304,0.005465162846818534
ADS,All duplicates,Protein abundance,Bm9,-0.15,-0.08874123879380597,0.009518124850361768
ADS,All duplicates,Protein abundance,Bm9,-0.125,-0.09233292583537077,0.007543249593309333
ADS,All duplicates,Protein abundance,Bm9,-0.1,-0.097481662591687,0.005340934662829501
ADS,All duplicates,Protein abundance,Bm9,-0.075,-0.08855378973105127,0.011644747910003765
ADS,All duplicates,Protein abundance,Bm9,-0.05,-0.08669763651181739,0.012389959045252334
ADS,All duplicates,Protein abundance,Bm9,-0.01,-0.09108761206193966,0.006872352303769533
ADS,All duplicates,Protein abundance,Bm9,0.0,-0.09053545232273834,0.007821795326360933
ADS,All duplicates,Transcription rate,Bm05,-0.35,-0.27007742461287687,9.992007221626409e-16
ADS,All duplicates,Transcription rate,Bm05,-0.25,-0.2615635696821516,9.992007221626409e-16
ADS,All duplicates,Transcription rate,Bm05,-0.175,-0.2457542787286063,9.992007221626409e-16
ADS,All duplicates,Transcription rate,Bm05,-0.15,-0.24839731051344738,9.992007221626409e-16
ADS,All duplicates,Transcription rate,Bm05,-0.125,-0.23540260798696003,9.992007221626409e-16
ADS,All duplicates,Transcription rate,Bm05,-0.1,-0.24406927465362668,9.992007221626409e-16
ADS,All duplicates,Transcription rate,Bm05,-0.075,-0.24016259168704154,9.992007221626409e-16
ADS,All duplicates,Transcription rate,Bm05,-0.05,-0.22381214343928277,4.440892098500625e-15
ADS,All duplicates,Transcription rate,Bm05,-0.01,-0.20747106764466175,4.998224056862455e-13
ADS,All duplicates,Transcription rate,Bm05,0.0,-0.20928076609616944,1.850741782050136e-13
ADS,All duplicates,Transcription rate,Bm1,-0.35,-0.15964710676446614,1.4613236946440608e-07
ADS,All duplicates,Transcription rate,Bm1,-0.25,-0.16174368378158108,5.8184942752781417e-08
ADS,All duplicates,Transcription rate,Bm1,-0.175,-0.1571173594132029,2.1834637697892845e-07
ADS,All duplicates,Transcription rate,Bm1,-0.15,-0.1624568052159739,7.197528684166345e-08
ADS,All duplicates,Transcription rate,Bm1,-0.125,-0.15311409942950283,5.748426213555055e-07
ADS,All duplicates,Transcription rate,Bm1,-0.1,-0.15045721271393642,7.546408164656645e-07
ADS,All duplicates,Transcription rate,Bm1,-0.075,-0.15491361043194782,6.880601345719365e-07
ADS,All duplicates,Transcription rate,Bm1,-0.05,-0.14910594947025263,7.044932859301412e-07
ADS,All duplicates,Transcription rate,Bm1,-0.01,-0.13859902200488994,5.241809538943561e-06
ADS,All duplicates,Transcription rate,Bm1,0.0,-0.12914425427872855,3.697551161641055e-05
ADS,All duplicates,Transcription rate,Bm10,-0.35,-0.057693969030154835,0.22102234421636943
ADS,All duplicates,Transcription rate,Bm10,-0.25,-0.04996251018744904,0.3515560236057893
ADS,All duplicates,Transcription rate,Bm10,-0.175,-0.04778728606356967,0.41328953380824984
ADS,All duplicates,Transcription rate,Bm10,-0.15,-0.053704156479217564,0.3140629173891288
ADS,All duplicates,Transcription rate,Bm10,-0.125,-0.04932762836185813,0.37228581825939017
ADS,All duplicates,Transcription rate,Bm10,-0.1,-0.04418581907090463,0.5071012475754347
ADS,All duplicates,Transcription rate,Bm10,-0.075,-0.04158027709861447,0.584441743732787
ADS,All duplicates,Transcription rate,Bm10,-0.05,-0.041662591687041534,0.5817564724832941
ADS,All duplicates,Transcription rate,Bm10,-0.01,-0.0423292583537082,0.5610288337120175
ADS,All duplicates,Transcription rate,Bm10,0.0,-0.040656071719641335,0.6119180543116753
ADS,All duplicates,Transcription rate,Bm2,-0.35,-0.10088182559087196,0.0020213316177050667
ADS,All duplicates,Transcription rate,Bm2,-0.25,-0.09625346373268127,0.0041403664699232005
ADS,All duplicates,Transcription rate,Bm2,-0.175,-0.08926446617766903,0.008357995847497966
ADS,All duplicates,Transcription rate,Bm2,-0.15,-0.0871100244498777,0.0125591036858723
ADS,All duplicates,Transcription rate,Bm2,-0.125,-0.08777669111654436,0.013095238499032468
ADS,All duplicates,Transcription rate,Bm2,-0.1,-0.08288345558272203,0.0180182745167845
ADS,All duplicates,Transcription rate,Bm2,-0.075,-0.07563895680521593,0.04995826671253937
ADS,All duplicates,Transcription rate,Bm2,-0.05,-0.07732029339853293,0.03982278048289503
ADS,All duplicates,Transcription rate,Bm2,-0.01,-0.07000774246128767,0.06941214868063077
ADS,All duplicates,Transcription rate,Bm2,0.0,-0.07214017929910346,0.05878590012082707
ADS,All duplicates,Transcription rate,Bm3,-0.35,-0.07502811735941317,0.046600156062396
ADS,All duplicates,Transcription rate,Bm3,-0.25,-0.07420945395273017,0.05744483460224276
ADS,All duplicates,Transcription rate,Bm3,-0.175,-0.07398655256723713,0.05375384215110307
