Systematic Name,Half-life [min],R2
YFL041W,15,0.99
YCR004C,15,0.99
YDR188W,15,0.99
YIL090W,15,0.99
YHR065C,15,0.99
YJL156C,15,0.99
YNL022C,15,0.99
YBL098W,15,1
YGR197C,15,1
YER087C-B,15,1
YPL243W,15,1
YJL122W,15,1
YLR221C,15,1
YNL308C,15,1
YER127W,15,1
YCR015C,15,1
YKL002W,15,1
YLR450W,15,1
YGR276C,15,1
YMR313C,15,1
YPL207W,15,1
YKR081C,15,1
YDR399W,15,1
YBL016W,15,1
YBL056W,15,1
YDR248C,15,1
YJL069C,15,1
YLR007W,15,1
YKR041W,15,1
YOR233W,15,1
YBR154C,15,1
YOR217W,15,1
YIL127C,15,1
YLR320W,15,1
YAL048C,15,1
YBR111C,15,1
YNL040W,15,1
YER049W,15,1
YOR051C,15,1
YLR148W,15,1
YER125W,15,1
YDL231C,15,1
YPR073C,15,1
YDR172W,15,1
YMR150C,15,1
YGL017W,15,1
YIL103W,15,1
YLR085C,15,1
YDR037W,15,1
YPR165W,15,1
YDR432W,15,1
YNL248C,15,1
YPL157W,15,1
YPL091W,15,1
YKR070W,15,1
YDR353W,15,1
YGR267C,15,1
YLR114C,15,1
YDR372C,15,1
YPR110C,15,1
YPL063W,15,1
YMR318C,15,1
YDR120C,15,1
YKR049C,15,1
YDL078C,15,1
YPL263C,15,1
YPR098C,15,1
YGL029W,15,1
YOL061W,15,1
YBR246W,15,1
YOR164C,15,1
YFL005W,15,1
YPL245W,15,1
YFL053W,15,1
YNL004W,15,1
YER086W,15,1
YOR021C,15,1
YPR143W,15,1
YHR162W,15,1
YPR041W,15,1
YLR132C,16,0.81
YCR010C,16,0.84
YHR067W,16,0.85
YLL058W,16,0.85
YOR008C-A,16,0.86
YDR123C,16,0.87
YPL222W,16,0.88
YOL162W,16,0.88
YJL038C,16,0.89
YOL155W-A,16,0.89
YPL135W,16,0.89
YGR248W,16,0.9
YJR078W,16,0.9
YJL073W,16,0.9
