Duplication;ORF;HM.Stynen;list.Biogrid.HM.Pubmed.id;n.Biogrid.study;n.Biogrid.HM;HM.Biogrid;HM.Kim;HM.PCA;HM.final
S;YCL046W;NA;NA;NA;NA;NA;0;NA;0
S;YCL047C;0;NA;NA;NA;NA;0;NA;0
S;YCL049C;0;NA;NA;NA;NA;0;NA;0
S;YCL052C;0;NA;PCA(16093310);1;0;0;NA;0
S;YCL055W;0;NA;NA;NA;NA;0;NA;0
S;YCL056C;0;NA;Two-hybrid(21441307);1;1;0;NA;1
S;YCL058C;NA;NA;NA;NA;NA;0;NA;0
S;YCL075W;NA;NA;NA;NA;NA;0;NA;0
S;YCL076W;NA;NA;NA;NA;NA;0;NA;0
S;YCR001W;NA;NA;NA;NA;NA;0;NA;0
S;YCR012W;NA;NA;Reconstituted Complex(16353200);1;1;NA;NA;1
S;YCR014C;0;NA;NA;NA;NA;0;NA;0
S;YCR016W;0;NA;NA;NA;NA;0;NA;0
S;YCR017C;0;NA;Affinity Capture-Western(17761529);1;1;0;NA;1
S;YCR019W;0;NA;NA;NA;NA;0;NA;0
S;YCR020C;0;NA;Two-hybrid(18719252);1;1;0;NA;1
S;YCR020C-A;NA;NA;NA;NA;NA;0;NA;0
S;YCR020W-B;0;NA;NA;NA;NA;NA;NA;0
S;YCR022C;NA;NA;NA;NA;NA;0;NA;0
S;YCR025C;NA;NA;NA;NA;NA;0;NA;0
S;YCR028C-A;NA;NA;"Affinity Capture-MS(16554755);Affinity Capture-Western(23175612);Co-crystal Structure(29931186);Reconstituted Complex(23175612)";4;2;0;NA;1
S;YCR030C;1;NA;"Co-crystal Structure(19713939);PCA(18467557)";2;2;NA;NA;1
S;YCR032W;0;NA;NA;NA;NA;NA;NA;0
S;YCR035C;0;NA;Affinity Capture-MS(16554755);1;0;0;NA;0
S;YCR038W-A;NA;NA;NA;NA;NA;0;NA;0
S;YCR041W;NA;NA;NA;NA;NA;0;NA;0
S;YCR042C;NA;NA;"Affinity Capture-MS(10788514);Affinity Capture-MS(12052880);Affinity Capture-Western(8662725)";3;1;0;NA;1
S;YCR043C;1;NA;PCA(18467557);1;0;0;NA;1
S;YCR044C;NA;NA;NA;NA;NA;0;NA;0
S;YCR046C;NA;NA;NA;NA;NA;0;NA;0
S;YCR047C;0;NA;Affinity Capture-MS(16554755);1;0;0;NA;0
S;YCR049C;NA;NA;NA;NA;NA;0;NA;0
S;YCR054C;0;NA;NA;NA;NA;0;NA;0
S;YCR063W;0;NA;Affinity Capture-MS(15303280);1;1;NA;NA;1
S;YCR064C;NA;NA;NA;NA;NA;0;NA;0
S;YCR068W;0;NA;NA;NA;NA;0;NA;0
S;YCR075C;0;NA;NA;NA;NA;0;NA;0
