Model,Comparison,Property,Run,Mut_corr,KS stats,KS p-value
ADS,All duplicates,Protein abundance,Bm10,0.4,-0.1119898125509372,0.0008617521922043265
ADS,All duplicates,Protein abundance,Bm10,0.5,-0.11351466992665034,0.0005546491842247751
ADS,All duplicates,Protein abundance,Bm10,0.6,-0.12126650366748164,0.00016125779983378071
ADS,All duplicates,Protein abundance,Bm10,0.7,-0.12055827220863895,0.00030066598305954434
ADS,All duplicates,Protein abundance,Bm2,-0.4,-0.1063182559087204,0.0012757368462901332
ADS,All duplicates,Protein abundance,Bm2,-0.3,-0.10798492257538705,0.0010367597135970334
ADS,All duplicates,Protein abundance,Bm2,-0.2,-0.10675794621026895,0.0012028348601191333
ADS,All duplicates,Protein abundance,Bm2,-0.1,-0.11112184189079054,0.001025831025292285
ADS,All duplicates,Protein abundance,Bm2,0.0,-0.12615851670741643,4.431329190435207e-05
ADS,All duplicates,Protein abundance,Bm2,0.1,-0.1042901385493072,0.0012802545510778001
ADS,All duplicates,Protein abundance,Bm2,0.2,-0.11446984515077423,0.00031165738260620005
ADS,All duplicates,Protein abundance,Bm2,0.3,-0.1139299103504482,0.00042404653293170693
ADS,All duplicates,Protein abundance,Bm2,0.4,-0.11169193154034225,0.0004445461974902333
ADS,All duplicates,Protein abundance,Bm2,0.5,-0.1070819070904645,0.0008060602621063666
ADS,All duplicates,Protein abundance,Bm2,0.6,-0.11085004074979621,0.0007094112222347333
ADS,All duplicates,Protein abundance,Bm2,0.7,-0.11307008964955169,0.0003229210086898333
ADS,All duplicates,Protein abundance,Bm3,-0.4,-0.11248492257538707,0.0006935643808177549
ADS,All duplicates,Protein abundance,Bm3,-0.3,-0.11049144254278724,0.0009981688436004404
ADS,All duplicates,Protein abundance,Bm3,-0.2,-0.10972656886715564,0.0012961542645336577
ADS,All duplicates,Protein abundance,Bm3,-0.1,-0.1085933170334148,0.002103704752084406
ADS,All duplicates,Protein abundance,Bm3,0.0,-0.11828198859005701,0.0003204884488122079
